#{"t_start": 1746138785.264836, "env_id": "None"}
r,l,t
0.03545,375,6.374376
-0.037919,410,9.68926
0.047054,409,12.827254
-0.011051,366,14.467724
-0.091733,416,17.942313
0.096187,369,23.117805
-0.092003,389,26.800266
-0.179737,414,34.375135
0.030192,381,41.714609
0.026944,407,51.940285
0.021748,399,61.167927
0.075576,335,67.950372
0.041841,362,77.554726
-0.029282,356,89.588973
0.054819,356,101.859441
-0.007582,357,115.225645
-0.040954,322,125.679916
0.017215,340,138.506121
-0.012712,354,150.967308
-0.034559,351,163.79005
-0.066577,344,179.454126
-0.064155,318,192.499803
0.048408,328,212.696397
0.032045,324,232.116689
0.157105,316,247.638813
-0.050023,324,262.141715
